date,competition,home_team,score,home_score,away_score,away_team,venue,result
2025-11-13,2026 FIFA World Cup qualification,England,2-0,2,0,Serbia,"London, England",England
2025-11-13,2026 FIFA World Cup qualification,Republic of Ireland,2-0,2,0,Portugal,"Dublin, Ireland",Republic of Ireland
2025-11-13,2026 FIFA World Cup qualification,France,4-0,4,0,Ukraine,"Paris, France",France
2025-11-13,2026 FIFA World Cup qualification,Guatemala,2-3,2,3,Panama,"Guatemala City, Guatemala",Panama
2025-11-14,2026 FIFA World Cup qualification,Luxembourg,0-2,0,2,Germany,"Luxembourg City, Luxembourg",Germany
2025-11-14,2026 FIFA World Cup qualification,Croatia,3-1,3,1,Faroe Islands,"Rijeka, Croatia",Croatia
2025-11-14,2026 FIFA World Cup qualification,Poland,1-1,1,1,Netherlands,"Warsaw, Poland",Draw
2025-11-15,2026 FIFA World Cup qualification,Georgia,0-4,0,4,Spain,"Tbilisi, Georgia",Spain
2025-11-15,2026 FIFA World Cup qualification,Kazakhstan,1-1,1,1,Belgium,"Astana, Kazakhstan",Draw
2025-11-15,2026 FIFA World Cup qualification,Bosnia and Herzegovina,3-1,3,1,Romania,"Zenica, Bosnia and Herzegovina",Bosnia and Herzegovina
2025-11-15,2026 FIFA World Cup qualification,Cyprus,0-2,0,2,Austria,"Limassol, Cyprus",Austria
2025-11-15,2026 FIFA World Cup qualification,Greece,3-2,3,2,Scotland,"Karaiskakis Stadium, Piraeus",Greece
2025-11-15,2026 FIFA World Cup qualification,Switzerland,4-1,4,1,Sweden,"Geneva, Switzerland",Switzerland
2025-11-15,2026 FIFA World Cup qualification,Turkey,2-0,2,0,Bulgaria,"Bursa, Turkey",Turkey
2025-11-16,2026 FIFA World Cup qualification,Italy,1-4,1,4,Norway,"Milan, Italy",Norway
2025-11-16,2026 FIFA World Cup qualification,Albania,0-2,0,2,England,"Tirana, Albania",England
2025-11-16,2026 FIFA World Cup qualification,Portugal,9-1,9,1,Armenia,"Porto, Portugal",Portugal
2025-11-16,2026 FIFA World Cup qualification,Azerbaijan,1-3,1,3,France,"Baku, Azerbaijan",France
2025-11-17,2026 FIFA World Cup qualification,Germany,6-0,6,0,Slovakia,"Leipzig, Germany",Germany
2025-11-17,2026 FIFA World Cup qualification,Czech Republic,6-0,6,0,Gibraltar,"Olomouc, Czech Republic",Czech Republic
2025-11-17,2026 FIFA World Cup qualification,Montenegro,2-3,2,3,Croatia,"Podgorica, Montenegro",Croatia
2025-11-17,2026 FIFA World Cup qualification,Netherlands,4-0,4,0,Lithuania,"Amsterdam, Netherlands",Netherlands
2025-11-18,2026 FIFA World Cup qualification,Haiti,2-0,2,0,Nicaragua,"Ergilio Hato Stadium, Willemstad",Haiti
2025-11-18,2026 FIFA World Cup qualification,Iraq,2-1,2,1,United Arab Emirates,"Basra, Iraq",Iraq
2025-11-18,2026 FIFA World Cup qualification,Jamaica,0-0,0,0,Curacao,"Kingston, Jamaica",Draw
2025-11-18,2026 FIFA World Cup qualification,Belgium,7-0,7,0,Liechtenstein,"Liege, Belgium",Belgium
2025-11-18,2026 FIFA World Cup qualification,Spain,2-2,2,2,Turkey,"Seville, Spain",Draw
2025-11-18,2026 FIFA World Cup qualification,Austria,1-1,1,1,Bosnia and Herzegovina,"Vienna, Austria",Draw
2025-11-18,2026 FIFA World Cup qualification,Kosovo,1-1,1,1,Switzerland,"Pristina, Kosovo",Draw
2025-11-18,2026 FIFA World Cup qualification,Panama,3-0,3,0,El Salvador,"Panama City, Panama",Panama
2025-11-18,2026 FIFA World Cup qualification,Scotland,4-2,4,2,Denmark,"Hampden Park, Glasgow",Scotland
2025-11-18,2026 FIFA World Cup qualification,Sweden,1-1,1,1,Slovenia,"Solna, Sweden",Draw
2026-03-26,2026 FIFA World Cup qualification play-offs,Ukraine,1-3,1,3,Sweden,"Valencia, Spain",Sweden
2026-03-26,2026 FIFA World Cup qualification play-offs,Czech Republic,2-2,2,2,Republic of Ireland,"Prague, Czech Republic",Draw
2026-03-26,2026 FIFA World Cup qualification play-offs,Turkey,1-0,1,0,Romania,"Istanbul, Turkey",Turkey
